locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLCOOICO_00001	CDS	303	rplW		COG0089	50S ribosomal protein L23
DLCOOICO_00002	CDS	606	rplD		COG0088	50S ribosomal protein L4
DLCOOICO_00003	CDS	630	rplC		COG0087	50S ribosomal protein L3
DLCOOICO_00004	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
DLCOOICO_00005	CDS	501				hypothetical protein
DLCOOICO_00006	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
DLCOOICO_00007	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
DLCOOICO_00008	CDS	1185	tufB		COG0050	Elongation factor Tu 2
DLCOOICO_00009	CDS	2115	fusA		COG0480	Elongation factor G
DLCOOICO_00010	CDS	471	rpsG		COG0049	30S ribosomal protein S7
DLCOOICO_00011	CDS	375	rpsL		COG0048	30S ribosomal protein S12
DLCOOICO_00012	CDS	294	tusB		COG2168	Protein TusB
DLCOOICO_00013	CDS	360	tusC		COG2923	Protein TusC
DLCOOICO_00014	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
DLCOOICO_00015	CDS	723	dauR		COG2964	Transcriptional regulator DauR
DLCOOICO_00016	CDS	168				hypothetical protein
DLCOOICO_00017	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
DLCOOICO_00018	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
DLCOOICO_00019	CDS	1020	gspA_1		COG1442	General stress protein A
DLCOOICO_00020	CDS	993				hypothetical protein
DLCOOICO_00021	CDS	945	gspA_2		COG1442	General stress protein A
DLCOOICO_00022	CDS	1056	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
DLCOOICO_00023	CDS	1014				hypothetical protein
DLCOOICO_00024	CDS	744	rfaL			O-antigen ligase
DLCOOICO_00025	CDS	558	smf-1		COG3539	Major fimbrial subunit SMF-1
DLCOOICO_00026	CDS	747	yadV_1			putative fimbrial chaperone YadV
DLCOOICO_00027	CDS	2544	fimD_1		COG3188	Outer membrane usher protein FimD
DLCOOICO_00028	CDS	1086				hypothetical protein
DLCOOICO_00029	CDS	732	yadV_2			putative fimbrial chaperone YadV
DLCOOICO_00030	CDS	639				hypothetical protein
DLCOOICO_00031	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
DLCOOICO_00032	CDS	855				hypothetical protein
DLCOOICO_00033	CDS	429	rplK		COG0080	50S ribosomal protein L11
DLCOOICO_00034	CDS	708	rplA		COG0081	50S ribosomal protein L1
DLCOOICO_00035	CDS	498	rplJ		COG0244	50S ribosomal protein L10
